userId,movieId
1,81834
1,112552
1,98809
1,99114
1,858
1,2918
1,73017
1,68358
1,1221
1,59315
1,91500
1,2762
1,1246
1,92439
1,4226
1,2959
1,69844
1,5577
1,96821
1,147
1,33794
1,58559
2,786
2,762
2,1356
2,25
2,605
2,1233
2,377
2,788
2,58
2,780
2,1552
2,648
2,339
2,5
2,628
2,1475
2,32
2,64
3,1092
3,480
3,3101
3,1097
3,858
3,1270
3,527
3,500
4,4238
4,648
4,3753
4,3203
4,1197
4,2716
4,4084
4,3298
4,415
4,2694
4,3798
4,2875
4,3578
4,223
4,2762
4,2581
4,2692
4,5679
4,4848
4,1422
4,1644
4,3908
4,1097
4,1431
4,4896
4,1597
4,1909
4,3285
4,2987
4,3409
4,3751
4,2712
4,1617
4,1221
4,3160
4,2396
4,3004
4,2710
4,3114
4,2338
4,3476
4,1911
4,4226
4,3623
4,2023
4,1732
4,3909
4,3977
4,2443
4,1645
5,3114
5,2163
5,2877
5,1302
5,858
5,1254
5,1198
5,1225
5,3198
5,3255
5,296
5,1230
5,750
5,157
5,1193
5,1945
5,1204
5,1263
5,1201
5,2707
5,541
6,11
6,1198
6,2628
7,8533
7,4306
7,89745
7,58559
7,4896
7,39183
7,51255
7,68954
7,54503
7,5810
7,50872
7,7153
7,30793
7,98809
7,35836
7,55247
7,116797
7,318
7,88744
7,88129
7,72378
7,91529
7,8961
7,5618
7,122904
7,6377
7,54272
7,6934
7,41566
7,60074
7,2571
7,80463
7,2959
7,3535
7,3948
7,2858
7,63082
7,40815
7,293
7,106920
7,69844
7,8368
8,1965
8,2469
8,647
8,1037
8,4956
8,1404
8,4979
8,1876
8,2985
8,1837
8,5054
8,170
8,4896
8,5120
8,2240
8,3082
8,3679
8,4085
8,7
8,2919
8,4291
8,968
8,553
8,3036
8,1591
8,1211
8,1405
8,1792
8,2313
8,2571
8,3203
8,4361
8,852
8,4787
8,2416
8,1
8,1266
8,3986
8,4638
8,3785
8,2300
8,2022
8,4541
8,2762
8,5036
8,3107
8,1343
8,208
8,1265
8,1287
8,5033
8,2670
8,5002
8,3197
