"userId","movieId","rating","timestamp" 
1,81834,5,1425942133 
1,112552,5,1425941336 
1,98809,0.5,1425942640 
1,99114,4,1425941667 
1,858,5,1425941523 
1,2918,5,1425941593 
1,73017,5,1425942699 
1,68358,5,1425941464 
1,1221,5,1425941546 
1,59315,5,1425941502 
1,91500,2.5,1425942647 
1,2762,4.5,1425941300 
1,1246,5,1425941556 
1,92439,5,1425941424 
1,4226,4,1425942228 
1,2959,4,1425941601 
1,69844,5,1425942139 
1,5577,5,1425941397 
1,96821,5,1425941382 
1,147,4.5,1425942435 
1,33794,4,1425942005 
1,58559,4,1425942007 
2,786,1,867039249 
2,762,3,867039325 
2,1356,5,867039288 
2,25,3,867039168 
2,605,4,867039973 
2,1233,4,867039820 
2,377,4,867041121 
2,788,1,867039288 
2,58,3,867039325 
2,780,3,867039165 
2,1552,2,867040735 
2,648,4,867039167 
2,339,5,867041296 
2,5,3,867039249 
2,628,4,867039325 
2,1475,3,867040824 
2,32,2,867039166 
2,64,4,867039612 
3,1092,3,1048076995 
3,480,3,1048076925 
3,3101,3,1048076830 
3,1097,3,1048076961 
3,858,4,1048076945 
3,1270,3,1048076976 
3,527,4,1048076900 
3,500,2,1048076945 
4,4238,4,1042674819 
4,648,4,1042674800 
4,3753,4,1042672491 
4,3203,4,1042668576 
4,1197,4,1042667956 
4,2716,4,1042672283 
4,4084,3,1042667925 
4,3298,3,1042668544 
4,415,4,1042667925 
4,2694,1,1042668544 
4,3798,4,1042672580 
4,2875,4,1042674773 
4,3578,4,1042672283 
4,223,4,1042668576 
4,2762,5,1042672546 
4,2581,3,1042672363 
4,2692,4,1042672531 
4,5679,3,1042674579 
4,4848,3,1042674425 
4,1422,4,1042674861 
4,1644,3,1042674845 
4,3908,2,1042672580 
4,1097,5,1042667925 
4,1431,3,1042667945 
4,4896,4,1042667845 
4,1597,3,1042674787 
4,1909,4,1042674761 
4,3285,3,1042668521 
4,2987,4,1042672592 
4,3409,2,1042668621 
4,3751,4,1042668559 
4,2712,3,1042668621 
